Company_name,CEO_name
Prudential Financial,Charles Frederick Lowrey
Lowe's,Marvin R. Ellison
Honeywell International,Vimal M. Kapur
McKesson,Brian Scott Tyler
Duke Energy,Lynn J. Good
Qualcomm,Cristiano R. Amon
HCA Healthcare,Samuel N. Hazen
Medtronic,Geoffrey Straub Martha
Amgen,Robert A. Bradway
ENGIE,Catherine MacGregor
Southern Company,Christopher C. Womack
CaixaBank,Gonzalo Gortázar Rotaeche
Manulife,Roy Gori
Danaher,Rainer M.
Mondelez International,Dirk van van de Put
Schneider Electric,Peter Walter Herweck
Target,Brian C. Cornell
Deutsche Post,Tobias Meyer
KDDI,Makoto Takahashi
National Grid,John Mark Pettigrew
Midea Group,Hong Bo Fang
Novo Nordisk,Lars Fruergaard Jørgensen
Oil & Natural Gas,Arun Kumar Singh
América Móvil,Daniel Hajj Aboumrad
BlackRock,Larry Fink
PDD Holdings,
PICC,Ting Ke Wang
Netflix,Greg Peters Ted Sarandos
Brookfield Corporation,Bruce Flatt
Qatar National Bank,Abdulla Mubarak Nasser
International Holding Company,
Travelers,Alan D. Schnitzer
Volvo Group,Martin Lundstedt
Union Pacific,V. James Vena
Oversea-Chinese Banking,Pik Kuen Wong
Swiss Re,Christian Mumenthaler PhD
China Pacific Insurance,Candy Yuen
McDonald's,Christopher J. Kempczinski
Banco Bradesco,Marcelo de Araújo Noronha
Centene,Sarah McGinty London
PayPal,James Alexander Chriss
Japan Post Holdings,Hiroya Masuda
Standard Chartered,Bill Winters
China Everbright Bank,Zhi Heng Wang
Suncor Energy,Rich Kruger
SAP,Christian Klein
Mastercard,Michael E. Miebach
The Saudi National Bank,Talal Ahmed Al-Khereiji
China Resources Land,Yong Tang
Delta Air Lines,Edward Herman Bastian
KIA,Ho-Sung Song
ASML Holding,Christophe D. Fouquet
General Dynamics,Phebe N. Novakovic
Daimler Truck Holding,Martin Daum
Nike,John J. Donahoe
United Overseas Bank,Yi Zong Huang
KBC Group,Johan Thijs
First Abu Dhabi Bank,Hana Al-Rostamani
PTT,
Canadian Natural Resources,
Aflac,Daniel P. Amos
Dai-ichi Life Insurance,Seiji Inagaki
Occidental Petroleum,Vicki A. Hollub
China Minsheng Bank,Yingxin Gao
Société Générale,Slawomir Krupa
KB Financial Group,Jong-Hee Yang
Inditex,Oscar García Maceiras
Al Rajhi Bank,Walid bin Abdullah Ali Al-Moqbel
MS&AD Insurance,Noriyuki Hara
Air Liquide,François Jackow
Fiserv,Frank J. Bisignano
China Railway Group,Chen Wenjian
Orange,Christel Heydemann
Safran,Olivier Andriès
Indian Oil,Sanjiv Singh
Emirates NBD,Shayne Kieth Nelson
EssilorLuxottica,Francesco Milleri
Cencora,Steven H. Collis
SLB,Olivier Le Peuch
Saint-Gobain,Benoît Bazin
Danske Bank,Carsten Rasch Egeriis
Macquarie Group,Shemara Wikramanayake
Zijin Mining Group,Jing He Chen
TJX Cos,Ernie L. Herrman
Banorte,Jose Marcos Ramírez Miguel
Kweichow Moutai,Li Wang
Fubon Financial,Yue Ting Han
SAIC Motor,
Automatic Data Processing,Maria Black
Kraft Heinz Company,Carlos Arturo Abrams-Rivera
Holcim,Miljan Gutovic
ABB,Björn Klas Otto
EOG Resources,Ezra Y. Yacob
Applied Materials,Gary E. Dickerson
E.ON,Leonhard Birnbaum
Denso,Shinnosuke Hayashi
DNB Bank,Kjerstin Elisabeth Braathen
Archer Daniels Midland,Juan Ricardo Luciano
Marsh & McLennan,John Q. Doyle
Tata Motors,Günter Karl Butschek
Sumitomo,Shingo Ueno
Paccar,Preston R. Feight
Fairfax Financial,Prem Watsa CFA
PG&E,Patricia K. Poppe
SEB AB,Johan Torgeby
Allstate,Tom Wilson
Kroger,W. Rodney McMullen
Erste Group Bank,Willibald Cernko
Axis Bank,Amitabh Chaudhry
Humana,Bruce Dale Broussard
Ameriprise Financial,Jim Cracchiolo
Marubeni,Masumi Kakinoki
Bank Of Jiangsu,Ming Ji
CRH,Albert Jude Manifold
China Unicom,Zhong Yue Chen
Sun Life Financial,Kevin David Strain
American Electric,Benjamin G. S. Fowke
Banco Btg Pactual,Roberto Balls Sallouti
Northrop Grumman,Kathy J. Warden
Shinhan Financial Group,Ok-Dong Jin
Couche Tard,Brian P. Hannasch
Xiaomi,Jun Lei
CK Hutchison,Tzar Kuoi Li
Koç Holding,Levent Çakiroglu
"Merck KGaA, Darmstadt, Germany and its affiliates",Belén Garijo López
Commerzbank,Manfred Knof
Meituan,Xing Wang
Seven & I Holdings,
Diageo,Debra Ann Crew
Eaton,Craig Arnold
Cathay Financial,Zhang Geng Li
Ecopetrol,Ricardo Roa Barragán
Talanx,Torsten Leue
Starbucks,Kevin Johnson
Altria Group,William F. Gifford
Exelon,Calvin G. Butler
D.R. Horton,Paul J. Romanowski
National Bank of Canada,Laurent Ferreira
Discover Financial Services,J. Michael Shepherd
Nippon Steel,Eiji Hashimoto
Royal Ahold Delhaize N.V.,Frans Willem Henri
Lennar,Rick Beckwitt Jon Jaffe
Stryker,Kevin A. Lobo
Huaxia Bank,Jian Hua Zhang
Power Corp of Canada,Robert Jeffrey Orr
Repsol,Josu Jon Imaz San Miguel
Bank of Ningbo,Meng Bo Luo
Gree Electric Appliances,Ming Zhu Dong
Cenovus Energy,Jonathan M. McKenzie
Texas Instruments,Haviv Ilan
RWE Group,Markus Krebber
Constellation Energy,
Møller-Maersk,Vincent Clerc
Renault,Luca de Meo
Nissan Motor,Luca de Meo
Panasonic,Yuki Kusumi
Advanced Micro Devices,Lisa T. Su
Hartford Financial Services,Christopher J. Swift
Adobe,Shantanu Narayen
Sompo,Mikio Okumura
Uber,Dara Khosrowshahi
Bank of Beijing,Yan Bingzhu
Vodafone,Margherita della Valle
China Railway Construction,Shao Jun Huang
Poly Developments & Holdings Group,Dong Li Zhou
Japan Tobacco,Masamichi Terabatake
Freeport-McMoRan,Richard C. Adkerson
Fannie Mae,Priscilla Almodovar
Nucor,Leon J. Topalian
Booking Holdings,Glenn D. Fogel
Canadian National Railway,Tracy A. Robinson
Corebridge Financial,
Tesco,Ken Murphy
United Airlines Holdings,J. Scott Kirby
BAE Systems,Charles Nicolas Woodburn
HP,Enrique Lores
S&P Global,Douglas L. Peterson
Cosco Shipping,Wei Dong Tao
Freddie Mac,Michael Thomas Hutchins
Sempra,Jeffrey Walker Martin
China Communications Construction,Qi Tao Liu
Kering,François Jean Henri Pinault
State Street,Ron O'Hanley
Saudi Telecom,Olayan Mohammed Al-Wetaid
China Yangtze Power,Xing Liao Zhang
NTPC,Gurdeep Singh
Bank Mandiri,Darmawan Junaidi
Aviva,Amanda Blanc
Swedbank,Jens Olof Henriksson
Baidu,Yan Hong Li
First Citizens Bank (NC),Frank B. Holding
Svenska Handelsbanken,Michael Green
Orix,Makoto Inoue
Dow,Jim Fitterling
IntercontinentalExchange,Jeffrey Craig Sprecher
Power Construction Corporation of China,Bin Wang
Toyota Tsusho,Ichiro Kashitani
Takeda Pharmaceutical,Christophe Weber
Poste Italiane,Matteo del Fante
Mitsubishi Electric,Kei Uruma
Citic Securities,Federico Bazzoni
Haier Smart Home,Hua Gang Li
Kinder Morgan,Kimberly Allen Dang
Toyota Industries,Koichi Ito
Rolls-Royce Holdings,Tufan Ergin-Bilgic
Fortescue Metals Group,Dino Otranto
Waste Management,Kathleen M Mazzarella
Cheniere Energy,Jack A. Fusco
TAQA,
CSX,Joseph R. Hinrichs
Johnson Controls International,George R. Oliver
Larsen & Toubro,Sekharipuram Narayan Subrahmanyan
Femsa,José Antonio Fernández Carbajal
Dominion Energy,Robert M. Blue
LyondellBasell Industries,Peter Vanacker
Shin-Etsu Chemical,Chihiro Kanagawa
Investor AB,Ulf Christian Cederholm
M&T Bank,René F. Jones
ORLEN Spolka Akcyjna,Ireneusz Fafara
Arch Capital Group,Marc Grandisson
Synchrony Financial,Brian D. Doubles
Fifth Third Bank,Timothy N. Spence
Becton Dickinson,Thomas E. Polen
ENEOS Holdings,Tomohide Miyata
Hana Financial Group,Young-Joo Ham
Posco,In-Hwa Chang
Tata Consultancy Services,Krithivasan. K. Krithivasan
Schweizerische Nationalbank,
Prologis,Hamid R. Moghadam
Wanhua Chemical Group,Guang Wu Kou
Oneok,Pierce H. Norton
Analog Devices,Vincent T. Roche
Parker-Hannifin,Jennifer A. Parmentier
Baoshan Iron & Steel,Xiao Di Wu
ArcelorMittal,Aditya Mittal
Nomura,Kentaro Okuda
Bank Of Shanghai,Youlian Hu
American Tower,Steven O. Vondran
Hewlett Packard Enterprise,Antonio Fabio Neri
Marriott International,Anthony G. Capuano
Regeneron Pharmaceuticals,Leonard S. Schleifer
Intuit,Sasan K. Goodarzi
Sysco,Kevin P. Hourican
Daikin Industries,Masanori Togawa
Veolia Environnement,Estelle Karine Brachlianoff
Bridgestone,Shuichi Ishibashi
Cummins,Jennifer W. Rumsey
Komatsu,Hiroyuki Ogawa
Pfizer,Albert Bourla
CSL,Paul McKenzie
Keurig Dr Pepper,Timothy P. Cofer
Canadian Pacific Kansas City,Keith Edward Creel
Bank of Baroda,Debadatta Chand
CTBC Financial Holding,Jia-Wen Chen
Kotak Mahindra Bank,Ashok Valiram Vaswani
TC Energy,Francois L. Poirier
Carrier Global,David L. Gitlin
Aon,Gregory C. Case
Hermès International,
Mitsubishi Heavy Industries,Seiji Izumisawa
Infineon Technologies,Jochen Hanebeck
Heineken,Jean-François M. L. van Boxmeer
Boeing,David L. Calhoun
Grupo Mexico,Germán Larrea Mota-Velasco
London Stock Exchange,David Adam Schwimmer
Sherwin-Williams,Heidi G. Petz
Dollar General,Todd J. Vasos
Baker Hughes Company,Lorenzo Simonelli
CRRC,Yong Cai Sun
Bank Central Asia,Jahja Setiaatmadja
Boston Scientific,Michael F. Mahoney
Naturgy Energy Group,Francisco Miguel Reynés Massanet
Saudi Electricity,
